Date,Open,High,Low,Close,Adj Close,Volume
2018-12-31,71.949997,72.720001,71.940002,72.389999,63.514881,2208331
2019-01-02,72.349998,72.470001,70.769997,70.970001,62.268978,2858639
2019-01-03,71.250000,71.980003,70.860001,71.839996,63.032326,3345567
2019-01-04,71.500000,71.959999,71.080002,71.889999,63.076183,3501951
2019-01-07,72.500000,72.989998,72.449997,72.570000,63.672821,2615597
2019-01-08,72.379997,72.800003,72.004997,72.470001,63.585079,2363648
2019-01-09,72.629997,72.750000,72.055000,72.330002,63.462234,2317350
2019-01-10,72.379997,72.449997,71.709999,72.449997,63.567524,2617459
2019-01-11,72.480003,72.489998,71.660004,71.660004,62.874393,2187613
2019-01-14,71.930000,72.279999,71.599998,71.919998,63.102509,2511661
2019-01-15,72.480003,72.800003,72.290001,72.650002,63.743004,2350615
2019-01-16,72.779999,72.989998,72.139999,72.550003,63.655277,2463396
2019-01-17,72.910004,73.084999,72.559998,72.769997,63.848293,2510233
2019-01-18,73.089996,73.419998,72.930000,73.230003,64.251900,1943242
2019-01-21,73.419998,73.550003,72.930000,73.050003,64.093971,1412257
2019-01-22,72.680000,72.940002,71.919998,72.180000,63.330635,2142852
2019-01-23,71.900002,72.419998,71.639999,72.129997,63.286762,1979598
2019-01-24,72.389999,72.550003,71.860001,72.510002,63.620171,1862511
2019-01-25,72.669998,72.959999,72.290001,72.540001,63.646496,5756348
2019-01-29,72.019997,72.370003,71.279999,71.349998,62.602394,2569527
2019-01-30,71.230003,71.334999,70.824997,71.239998,62.505871,3204973
2019-01-31,71.239998,71.449997,69.910004,69.910004,61.338943,4965542
2019-02-01,69.230003,70.269997,69.150002,69.760002,61.207329,3144898
2019-02-04,69.449997,70.919998,69.220001,70.300003,61.681129,2595413
2019-02-05,73.690002,73.889999,72.410004,73.599998,64.576538,7693619
2019-02-06,73.900002,74.250000,72.019997,72.599998,63.699135,5414328
2019-02-07,72.589996,74.250000,72.500000,74.059998,64.980133,4119932
2019-02-08,73.449997,74.945000,73.449997,74.750000,65.585548,5082651
2019-02-11,74.589996,74.750000,73.339996,73.820000,64.769562,2926427
2019-02-12,73.790001,74.129997,73.150002,73.330002,64.339645,3431996
2019-02-13,71.750000,71.750000,70.949997,71.209999,64.231400,6133536
2019-02-14,71.209999,71.339996,70.550003,70.589996,63.672153,2787802
2019-02-15,70.500000,71.035004,70.250000,70.809998,63.870598,2578410
2019-02-18,71.470001,71.480003,70.660004,70.970001,64.014923,2057522
2019-02-19,70.720001,71.849998,70.720001,71.669998,64.646317,2952891
2019-02-20,71.500000,72.190002,71.169998,71.660004,64.637299,2514470
2019-02-21,72.199997,73.220001,71.980003,73.099998,65.936172,4539658
2019-02-22,73.209999,73.849998,72.730003,73.849998,66.612686,4838373
2019-02-25,73.800003,73.930000,73.050003,73.760002,66.531494,2485374
2019-02-26,73.690002,73.690002,72.800003,73.150002,65.981277,2069074
2019-02-27,73.430000,73.709999,73.150002,73.650002,66.432274,2223896
2019-02-28,73.510002,73.949997,73.160004,73.949997,66.702873,3968439
2019-03-01,73.949997,74.650002,73.900002,74.349998,67.063683,3554240
2019-03-04,74.550003,74.815002,73.980003,74.050003,66.793083,2261615
2019-03-05,73.690002,74.230003,73.550003,74.059998,66.802101,2616966
2019-03-06,74.089996,74.750000,74.010002,74.750000,67.424484,3025463
2019-03-07,74.980003,75.000000,74.510002,74.680000,67.361343,3135990
2019-03-08,74.000000,74.139999,73.099998,73.180000,66.008339,3624931
2019-03-11,72.680000,73.309998,72.599998,73.150002,65.981277,2164041
2019-03-12,73.690002,74.000000,73.129997,73.129997,65.963234,2355849
2019-03-13,73.129997,73.150002,72.269997,73.050003,65.891083,2971382
2019-03-14,73.389999,73.389999,72.510002,72.930000,65.782837,2031806
2019-03-15,73.339996,73.339996,72.029999,72.309998,65.223587,5551817
2019-03-18,72.029999,72.610001,71.500000,71.809998,64.772591,3044657
2019-03-19,72.300003,72.300003,71.260002,71.330002,64.339638,2978248
2019-03-20,71.010002,71.320000,70.699997,70.790001,63.852554,3282179
2019-03-21,70.529999,71.190002,70.510002,71.129997,64.159241,4797875
2019-03-22,71.300003,71.849998,71.000000,71.430000,64.429840,1612285
2019-03-25,70.629997,70.910004,70.300003,70.779999,63.843540,2792861
2019-03-26,70.739998,70.959999,70.470001,70.709999,63.780407,2274251
2019-03-27,70.599998,70.839996,70.199997,70.839996,63.897655,2413219
2019-03-28,70.820000,71.040001,70.300003,70.910004,63.960808,2981799
2019-03-29,70.779999,71.000000,70.379997,70.639999,63.717255,5134907
2019-04-01,71.000000,71.769997,71.000000,71.360001,64.366707,1893435
2019-04-02,71.900002,72.160004,71.254997,71.379997,64.384743,2267274
2019-04-03,71.510002,71.690002,71.050003,71.389999,64.393761,2582854
2019-04-04,71.519997,71.580002,70.959999,71.230003,64.249443,2364739
2019-04-05,71.059998,71.250000,70.629997,70.889999,63.942764,2601681
2019-04-08,71.010002,71.070000,70.500000,70.669998,63.744328,2086127
2019-04-09,70.559998,70.599998,69.720001,70.250000,63.365471,2741284
2019-04-10,70.139999,71.029999,70.029999,70.750000,63.816479,2079661
2019-04-11,70.269997,70.459999,70.000000,70.260002,63.374508,3282063
2019-04-12,70.940002,71.739998,70.794998,71.629997,64.610245,3170599
2019-04-15,71.940002,72.279999,71.860001,72.190002,65.115356,2279880
2019-04-16,72.089996,72.809998,72.000000,72.690002,65.566360,2535090
2019-04-17,72.800003,73.449997,72.779999,73.290001,66.107567,2583116
2019-04-18,73.650002,73.830002,73.080002,73.410004,66.215797,2739790
2019-04-23,73.580002,74.330002,73.290001,74.199997,66.928375,3027492
2019-04-24,74.500000,75.339996,74.430000,75.160004,67.794312,6661349
2019-04-26,75.089996,75.500000,74.870003,75.449997,68.055878,2906927
2019-04-29,75.400002,75.449997,74.699997,75.110001,67.749207,1673023
2019-04-30,74.910004,75.070000,74.514999,74.519997,67.217018,2336279
2019-05-01,74.809998,75.860001,74.699997,75.500000,68.100983,2275425
2019-05-02,75.000000,75.029999,74.459999,74.860001,67.523697,1967634
2019-05-03,74.919998,75.375000,74.449997,74.980003,67.631950,2066251
2019-05-06,74.470001,75.239998,74.290001,74.940002,67.595863,1621358
2019-05-07,75.070000,75.650002,74.610001,74.610001,67.298203,1890973
2019-05-08,74.209999,74.800003,74.150002,74.739998,67.415459,1569921
2019-05-09,74.419998,75.290001,74.419998,75.169998,67.803314,1893374
2019-05-10,75.180000,75.480003,74.800003,75.400002,68.010780,2007443
2019-05-13,73.900002,74.000000,73.089996,73.500000,66.296974,3217303
2019-05-14,72.760002,72.900002,72.014999,72.570000,65.458115,3135573
2019-05-15,72.690002,72.889999,72.220001,72.540001,65.431053,2903634
2019-05-16,72.930000,73.330002,72.410004,73.330002,66.143639,3245252
2019-05-17,73.900002,73.989998,72.735001,72.830002,65.692627,2939669
2019-05-20,76.959999,77.720001,75.000000,77.400002,69.814774,10224511
2019-05-21,79.599998,79.790001,77.050003,78.970001,71.230919,6145587
2019-05-22,78.699997,79.000000,78.160004,79.000000,71.257980,3539248
2019-05-23,78.930000,78.930000,78.029999,78.150002,70.491280,3187084
2019-05-24,77.750000,78.180000,77.309998,78.180000,70.518333,2851840
2019-05-27,77.510002,78.120003,77.510002,77.639999,70.031258,1439079
2019-05-28,77.839996,78.339996,77.750000,78.040001,70.392052,4145532
2019-05-29,77.529999,77.989998,77.349998,77.889999,70.256752,2732763
2019-05-30,77.379997,78.419998,77.379997,78.199997,70.536369,3465876
2019-05-31,77.949997,78.540001,77.720001,78.510002,70.816002,6604404
2019-06-03,78.059998,78.559998,77.809998,77.910004,70.274796,2379890
2019-06-04,77.919998,78.730003,77.400002,78.419998,70.734818,3000157
2019-06-05,79.000000,79.500000,78.820000,79.389999,71.609756,3016640
2019-06-06,79.470001,80.000000,79.449997,79.720001,71.907410,3028387
2019-06-07,79.989998,80.000000,79.500000,80.000000,72.159973,2342094
2019-06-11,80.099998,81.000000,80.019997,80.949997,73.016869,2954049
2019-06-12,81.000000,81.250000,79.860001,79.870003,72.042709,2880475
2019-06-13,80.150002,80.489998,80.000000,80.419998,72.538811,2020161
2019-06-14,79.809998,79.919998,79.129997,79.769997,71.952522,2314464
2019-06-17,79.800003,80.690002,79.709999,80.190002,72.331360,2277090
2019-06-18,80.699997,81.449997,80.690002,81.449997,73.467873,5192688
2019-06-19,81.699997,82.394997,81.660004,82.300003,74.234573,5180862
2019-06-20,82.779999,83.000000,81.970001,82.889999,74.766754,4528129
2019-06-21,82.889999,82.989998,81.900002,82.239998,74.180458,5058429
2019-06-24,82.000000,82.699997,81.910004,82.699997,74.595375,1606761
2019-06-25,82.660004,82.690002,82.040001,82.379997,74.306725,1997999
2019-06-26,82.290001,82.379997,81.845001,82.190002,74.135353,3256761
2019-06-27,81.980003,83.000000,81.930000,83.000000,74.865974,2587665
2019-06-28,83.199997,83.989998,82.500000,82.779999,74.667542,7376177
2019-07-01,83.500000,83.519997,81.879997,82.320000,74.252609,2964519
2019-07-02,82.220001,82.430000,80.519997,81.050003,73.107079,3516402
2019-07-03,80.540001,81.190002,80.120003,80.949997,73.016869,3356436
2019-07-04,81.440002,82.199997,81.230003,81.570000,73.576111,2785014
2019-07-05,82.019997,82.550003,81.629997,82.260002,74.198502,2886920
2019-07-08,82.000000,82.139999,81.279999,81.279999,73.314529,1900273
2019-07-09,80.690002,81.029999,80.400002,80.970001,73.034912,2473175
2019-07-10,81.500000,81.949997,81.010002,81.239998,73.278450,1696610
2019-07-11,80.879997,81.470001,80.570000,81.239998,73.278450,2098294
2019-07-12,81.239998,82.000000,80.910004,81.519997,73.531013,3140331
2019-07-15,80.910004,81.445000,80.800003,81.059998,73.116089,1575737
2019-07-16,80.949997,81.199997,80.849998,80.849998,72.926674,1435095
2019-07-17,80.769997,81.440002,80.599998,81.320000,73.350609,1339322
2019-07-18,81.150002,81.449997,80.900002,81.379997,73.404732,1503108
2019-07-19,81.500000,82.269997,81.370003,82.089996,74.045151,2208256
